"Task_Name","Task_ID","Experiment_Name","Experiment_ID","metric_best_validation_accuracy","env_THROTTLE"
"training_62","tk_uirt2dvpny4g","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.896,"10000"
"training_17","tk_whj82z7tr9pj","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8958,"10000"
"training_20","tk_qznggytcgh2n","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8956,"10000"
"training_24","tk_1hbybk7acbhv","BOE_with_VAE_IMDB_10000_1","ex_okbzdxbe9fei",0.8956,"10000"
"training_46","tk_mzp69foqz2mv","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8954,"10000"
"training_7","tk_x48r1wgt0cdj","BOE_with_VAE_IMDB_10000_1","ex_okbzdxbe9fei",0.8954,"10000"
"training_42","tk_yqtv6y94077x","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8948,"10000"
"training_45","tk_j9s48on35y66","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8948,"10000"
"training_10","tk_1tglioyj0xy0","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8948,"10000"
"training_40","tk_r0d6103acnyj","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8946,"10000"
"training_47","tk_is16vr9h5ohy","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8944,"10000"
"training_51","tk_ymlq0zaj3mel","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8944,"10000"
"training_19","tk_viiywexipxrt","BOE_with_VAE_IMDB_10000_1","ex_okbzdxbe9fei",0.8944,"10000"
"training_50","tk_h39hbpqo5xxb","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8942,"10000"
"training_11","tk_3l95wqyg2omd","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8942,"10000"
"training_30","tk_thk9y7vptbh2","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8942,"10000"
"training_1","tk_hlgprba8y2w7","BOE_with_VAE_IMDB_10000_1","ex_okbzdxbe9fei",0.8942,"10000"
"training_18","tk_hwmwzoh959iu","BOE_with_VAE_IMDB_10000_1","ex_okbzdxbe9fei",0.8942,"10000"
"training_63","tk_xv139woenihq","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.894,"10000"
"training_14","tk_b2pwai5t1908","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.894,"10000"
"training_3","tk_ky405mgy1z3m","BOE_with_VAE_IMDB_10000_1","ex_okbzdxbe9fei",0.894,"10000"
"training_5","tk_gejc37emz1ry","BOE_with_VAE_IMDB_10000_1","ex_okbzdxbe9fei",0.894,"10000"
"training_36","tk_f1f7oexxuj8f","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8938,"10000"
"training_61","tk_xpmjmdmwvr3l","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8936,"10000"
"training_23","tk_hopnlcygxdjn","BOE_with_VAE_IMDB_10000_1","ex_okbzdxbe9fei",0.8936,"10000"
"training_35","tk_l9dzi8t7kfi5","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8934,"10000"
"training_57","tk_hxifv4e6tgoc","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8934,"10000"
"training_31","tk_mo48w64hkxmk","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.893,"10000"
"training_67","tk_685fnljbsvic","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.893,"10000"
"training_29","tk_b1qhhz83myjy","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8928,"10000"
"training_24","tk_d5v34kvd1i3o","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8928,"10000"
"training_29","tk_b1qhhz83myjy","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8928,"10000"
"training_8","tk_0erhmnt4zwcn","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8928,"10000"
"training_0","tk_e5elj5difcox","BOE_with_VAE_IMDB_10000_1","ex_okbzdxbe9fei",0.8928,"10000"
"training_2","tk_rzxir8mtpplg","BOE_with_VAE_IMDB_10000_1","ex_okbzdxbe9fei",0.8928,"10000"
"training_66","tk_s701zejvsaku","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8926,"10000"
"training_27","tk_weeg0uv2o7hm","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8926,"10000"
"training_68","tk_8616641s0umt","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8924,"10000"
"training_25","tk_uc8l6bzgwoze","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8924,"10000"
"training_14","tk_oxwdd5y4djys","BOE_with_VAE_IMDB_10000_1","ex_okbzdxbe9fei",0.8924,"10000"
"training_70","tk_lcu2z33w92mp","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8922,"10000"
"training_0","tk_a04eq1t9vm4p","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8922,"10000"
"training_74","tk_17ik2kxo6bf2","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.892,"10000"
"training_13","tk_h4jhxk167i1g","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.892,"10000"
"training_3","tk_vvw9affnraa9","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.892,"10000"
"training_4","tk_3hu3zvat6qs4","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8918,"10000"
"training_6","tk_6mhiftwqtdob","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8918,"10000"
"training_39","tk_jkq8ujuo5nea","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8918,"10000"
"training_7","tk_kbzlon3e7har","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8918,"10000"
"training_37","tk_1x9vqyodx0vv","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8916,"10000"
"training_9","tk_akll8u6jepyl","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8916,"10000"
"training_54","tk_4f1s5teyse1o","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.8916,"10000"
"training_4","tk_qwvsqhrrk5za","BOE_with_VAE_IMDB_10000_1","ex_okbzdxbe9fei",0.8916,"10000"
"training_8","tk_ztrwd5ea1j8h","BOE_with_VAE_IMDB_10000_1","ex_okbzdxbe9fei",0.8916,"10000"
"training_10","tk_7y4xjzfoisv6","BOE_with_VAE_IMDB_10000_1","ex_okbzdxbe9fei",0.8916,"10000"
"training_21","tk_v5ox2eo2556v","BOE_IMDB_10000","ex_r9kk7fu5ytl3",0.8912,"10000"
"training_48","tk_y6jp8kuy3ibi","BOE_with_VAE_IMDB_5000","ex_u95pyp0aes5i",0.8912,"5000"
"training_44","tk_wh99wf357sbf","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.891,"10000"
"training_56","tk_sucto546pyb7","BOE_with_VAE_IMDB_10000","ex_a7fn2ec2sp2i",0.891,"10000"
"training_53","tk_f12qvkqy7r3y","BOE_IMDB_10000","ex_r9kk7fu5ytl3",0.891,"10000"
"training_27","tk_qtu1uqvc46rf","BOE_IMDB_10000","ex_r9kk7fu5ytl3",0.891,"10000"
"training_41","tk_pd9sgwk0567k","BOE_IMDB_10000","ex_r9kk7fu5ytl3",0.891,"10000"
"training_53","tk_f12qvkqy7r3y","BOE_IMDB_10000","ex_r9kk7fu5ytl3",0.891,"10000"
"training_68","tk_yrq9wlg82e2h","BOE_IMDB_10000","ex_r9kk7fu5ytl3",0.891,"10000"
"training_33","tk_u01cgxh5uttz","BOE_IMDB_10000","ex_r9kk7fu5ytl3",0.891,"10000"
"training_17","tk_7j85c8qus40j","BOE_IMDB_10000_1","ex_4hpkd7ou8v1t",0.8908,"10000"
