metric_best_validation_accuracy	env_CLASSIFIER	env_SEED
0.8874	cnn	42
0.879	cnn	42
0.8766	cnn	42
0.894	cnn	42
0.8838	cnn	42
0.8954	cnn	42
0.8964	cnn	42
0.9	cnn	42
0.899	cnn	42
0.8926	cnn	42
0.9022	boe	42
0.8986	boe	42
0.89	boe	42
0.8786	lstm	42
0.892	boe	42
0.9018	boe	42
0.882	lstm	42
0.8859999999999999	cnn	42
0.8944	boe	42
0.9042	lr	42
0.899	boe	42
0.8986	boe	42
0.8772	lstm	42
0.8938	boe	42
0.8846	lstm	42
0.889	boe	42
0.8868	cnn	42
0.898	boe	42
0.9026	lr	42
0.889	boe	42
0.8846	lstm	42
0.8944	boe	42
0.8986	boe	42
0.8859999999999999	cnn	42
0.8786	lstm	42
0.892	boe	42
0.8772	lstm	42
0.899	boe	42
0.888	lstm	1231-09-23T07:52:58.000Z
0.8784	cnn	1231-09-23T07:52:58.000Z
0.889	cnn	1231-09-23T07:52:58.000Z
0.8982	boe	1231-09-23T07:52:58.000Z
0.8994	cnn	1231-09-23T07:52:58.000Z
0.8952	lstm	1231-09-23T07:52:58.000Z
0.8904	boe	1231-09-23T07:52:58.000Z
0.8958	boe	1231-09-23T07:52:58.000Z
0.8958	boe	1231-09-23T07:52:58.000Z
0.902	boe	1231-09-23T07:52:58.000Z
0.8958	boe	1231-09-23T07:52:58.000Z
0.8926	boe	1231-09-23T07:52:58.000Z
0.8734	cnn	1231-09-23T07:52:58.000Z
0.8859999999999999	cnn	1231-09-23T07:52:58.000Z
0.8904	cnn	1231-09-23T07:52:58.000Z
0.898	boe	1231-09-23T07:52:58.000Z
0.8724	cnn	1231-09-23T07:52:58.000Z
0.8759999999999999	cnn	1231-09-23T07:52:58.000Z
0.9074	lr	1231-09-23T07:52:58.000Z
0.902	boe	1231-09-23T07:52:58.000Z
0.883	cnn	1231-09-23T07:52:58.000Z
0.9074	lr	1231-09-23T07:52:58.000Z
0.8918	cnn	1231-09-23T07:52:58.000Z
0.887	lstm	1231-09-23T07:52:58.000Z
0.8909999999999999	lstm	1231-09-23T07:52:58.000Z
0.8982	boe	1231-09-23T07:52:58.000Z
0.8872	cnn	1231-09-23T07:52:58.000Z
0.889	cnn	1231-09-23T07:52:58.000Z
0.888	lstm	1231-09-23T07:52:58.000Z
0.8836	cnn	1231-09-23T07:52:58.000Z
0.8958	boe	1231-09-23T07:52:58.000Z
0.8902	cnn	1231-09-23T07:52:58.000Z
0.9002	cnn	1231-09-23T07:52:58.000Z
0.8784	cnn	1231-09-23T07:52:58.000Z
0.8914	lstm	1231-09-23T07:52:58.000Z
0.8864	lstm	1231-09-23T07:52:58.000Z
0.8852	cnn	1231-09-23T07:52:58.000Z
0.8888	boe	1231-09-23T07:52:58.000Z
0.8918	boe	1231-09-23T07:52:58.000Z
0.8962	cnn	1231-09-23T07:52:58.000Z
0.8796	cnn	1231-09-23T07:52:58.000Z
0.8864	cnn	1231-09-23T07:52:58.000Z
0.8922	boe	1231-09-23T07:52:58.000Z
0.8922	boe	1231-09-23T07:52:58.000Z
0.8884	lstm	1231-09-23T07:52:58.000Z
0.89	lstm	1231-09-23T07:52:58.000Z
0.8836	cnn	1231-09-23T07:52:58.000Z
0.9032	lr	1231-09-23T07:52:58.000Z
0.8976	cnn	1231-09-23T07:52:58.000Z
0.8846	lstm	1231-09-23T07:52:58.000Z
0.8778	cnn	1231-09-23T07:52:58.000Z
0.8852	lstm	1231-09-23T07:52:58.000Z
0.8944	cnn	1231-09-23T07:52:58.000Z
0.8912	boe	1231-09-23T07:52:58.000Z
0.8956	lstm	1231-09-23T07:52:58.000Z
0.8952	lstm	1231-09-23T07:52:58.000Z
0.8958	boe	1231-09-23T07:52:58.000Z
0.8982	boe	1231-09-23T07:52:58.000Z
0.8864	lstm	1231-09-23T07:52:58.000Z
0.8994	cnn	1231-09-23T07:52:58.000Z
0.9002	cnn	1231-09-23T07:52:58.000Z
0.8958	boe	1231-09-23T07:52:58.000Z
0.8784	cnn	1231-09-23T07:52:58.000Z
0.888	lstm	1231-09-23T07:52:58.000Z
0.889	cnn	1231-09-23T07:52:58.000Z
0.8836	cnn	1231-09-23T07:52:58.000Z
0.8914	lstm	1231-09-23T07:52:58.000Z
0.8918	boe	1231-09-23T07:52:58.000Z
0.8878	cnn	1231-09-23T07:52:58.000Z
0.8918	cnn	1231-09-23T07:52:58.000Z
0.9059999999999999	lr	1231-09-23T07:52:58.000Z
0.9074	lr	1231-09-23T07:52:58.000Z
0.8784	cnn	1231-09-23T07:52:58.000Z
0.8996	boe	1231-09-23T07:52:58.000Z
0.8759999999999999	cnn	1231-09-23T07:52:58.000Z
0.9024	lr	1231-09-23T07:52:58.000Z
0.902	lr	1231-09-23T07:52:58.000Z
0.8859999999999999	cnn	1231-09-23T07:52:58.000Z
0.8926	boe	1231-09-23T07:52:58.000Z
0.8734	cnn	1231-09-23T07:52:58.000Z
0.8724	cnn	1231-09-23T07:52:58.000Z
0.8982	boe	1231-09-23T07:52:58.000Z
0.9026	lr	1231-09-23T07:52:58.000Z
0.8904	cnn	1231-09-23T07:52:58.000Z
0.898	boe	1231-09-23T07:52:58.000Z
0.8909999999999999	lstm	1231-09-23T07:52:58.000Z
0.8922	boe	1231-09-23T07:52:58.000Z
0.883	cnn	1231-09-23T07:52:58.000Z
0.8958	boe	1231-09-23T07:52:58.000Z
0.9024	lr	1231-09-23T07:52:58.000Z
0.8958	boe	1231-09-23T07:52:58.000Z
0.902	lr	1231-09-23T07:52:58.000Z
0.8962	boe	1231-09-23T07:52:58.000Z
0.8808	cnn	42
0.8859999999999999	lstm	42
0.8982	cnn	42
0.8904	cnn	42
0.8916	cnn	42
