Experiment_ID,Experiment_Name,Task_ID,Task_Name,env_AGGREGATIONS,env_BATCH_SIZE,env_CLASSIFIER,env_CLF_HIDDEN_DIM,env_DROPOUT,env_EMBEDDING_DIM,env_LEARNING_RATE,env_MAX_FILTER_SIZE,env_NUM_ENCODER_LAYERS,env_NUM_FILTERS,env_SEED,env_THROTTLE,env_VAE_DROPOUT,env_VOCAB_SIZE,metric_best_validation_accuracy
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_gwnry4voya12,training_53,meanpool,,cnn,512,2,,1,10,3,156,2294922467,5000,0.0,30000,0.8742
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_pu59x5br1cnb,training_32,"attention,final_state",,lr,64,0,,10,5,3,512,2002866410,5000,2.0,30000,0.8874
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_8crobp4b4to5,training_28,"final_state,attention,meanpool",,lstm,512,0,,1,10,2,156,2002866410,5000,5.0,30000,0.8748
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_t5ovvdz8px6j,training_31,attention,,lr,512,0,,10,7,2,512,2002866410,5000,0.0,30000,0.8882
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_r5lx8e0ixqt5,training_0,maxpool,,lstm,64,5,,1,7,3,128,1989894904,5000,2.0,30000,0.875
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_18ziuayxjclv,training_23,maxpool,,lr,512,2,,5,10,1,128,2294922467,5000,5.0,30000,0.8909999999999999
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_1swlc8rnwna8,training_13,"meanpool,maxpool",,cnn,64,2,,5,10,3,128,4076792239,5000,0.0,30000,0.866
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_j14ty7y5e9es,training_19,"meanpool,attention,final_state,maxpool",,lstm,128,5,,1,5,3,156,2294922467,5000,0.0,30000,0.8772
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_n32j5dpcf4bs,training_83,"final_state,meanpool",,lstm,512,5,,1,7,2,128,1989894904,5000,0.0,30000,0.8782
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_4dadx8ve99i9,training_20,"maxpool,final_state,attention",,lr,128,5,,1,5,3,128,2294922467,5000,0.0,30000,0.8932
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_d7t7iajvxwgi,training_62,"attention,final_state",,lstm,512,0,,10,5,2,156,2002866410,5000,2.0,30000,0.8572
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_plvbjsyqhfln,training_65,meanpool,,lstm,128,0,,10,5,1,128,2002866410,5000,5.0,30000,0.8786
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_44mhwiqo1yd1,training_34,"attention,maxpool,final_state,meanpool",,lstm,128,2,,5,10,3,512,2294922467,5000,2.0,30000,0.8776
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_om7teb72b2m5,training_70,final_state,,lr,128,5,,1,10,1,156,1004506748,5000,5.0,30000,0.8866
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_a4u94c3ynzsg,training_54,"final_state,maxpool,attention",,cnn,128,0,,10,5,2,512,1004506748,5000,2.0,30000,0.8754
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_2g9qbudpsgju,training_73,"maxpool,meanpool,attention,final_state",,cnn,64,0,,5,7,2,156,2002866410,5000,2.0,30000,0.8656
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_zor67y78kv52,training_6,"maxpool,meanpool,attention,final_state",,lstm,512,0,,5,5,2,156,2294922467,5000,5.0,30000,0.8716
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_a2kd8dv451u6,training_5,"meanpool,final_state,attention,maxpool",,cnn,64,2,,1,5,1,512,1004506748,5000,0.0,30000,0.8794
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_z88m3y6o5oym,training_97,"final_state,attention",,cnn,64,0,,1,10,3,512,1004506748,5000,0.0,30000,0.8776
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_vnw3m9suc1lf,training_36,meanpool,,cnn,64,5,,10,10,2,128,1004506748,5000,5.0,30000,0.8638
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_2707g7nhzpxo,training_74,maxpool,,cnn,64,2,,5,7,3,128,2002866410,5000,5.0,30000,0.8736
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_rvijw3jwxmr5,training_43,"meanpool,maxpool",,lr,128,5,,5,10,3,156,2002866410,5000,2.0,30000,0.89
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_44mhwiqo1yd1,training_34,"attention,maxpool,final_state,meanpool",,lstm,128,2,,5,10,3,512,2294922467,5000,2.0,30000,0.8776
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_om7teb72b2m5,training_70,final_state,,lr,128,5,,1,10,1,156,1004506748,5000,5.0,30000,0.8866
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_a4u94c3ynzsg,training_54,"final_state,maxpool,attention",,cnn,128,0,,10,5,2,512,1004506748,5000,2.0,30000,0.8754
ex_sij2iacu2pk1,IMDB_Baseline_with_VAE_5K,tk_2g9qbudpsgju,training_73,"maxpool,meanpool,attention,final_state",,cnn,64,0,,5,7,2,156,2002866410,5000,2.0,30000,0.8656
