"Task_Name","Task_ID","Experiment_Name","Experiment_ID","metric_best_validation_accuracy","env_AGGREGATIONS","env_CLASSIFIER","env_CLF_HIDDEN_DIM","env_DROPOUT","env_LEARNING_RATE","env_MAX_FILTER_SIZE","env_NUM_ENCODER_LAYERS","env_NUM_FILTERS","env_SEED","env_THROTTLE","env_VAE_DROPOUT","env_VOCAB_SIZE"
"training_10","tk_qh4mvsta1n0k","","ex_zltgiijub6xv",0.8732,"meanpool,maxpool,final_state,attention","lr","2048","0","5","7","1","512","1004546748","5000","2","30000"
"training_44","tk_orqlz0po3i9a","","ex_zltgiijub6xv",0.8696,"maxpool,final_state,attention","lr","64","2","5","10","1","512","1004546748","5000","2","30000"
"training_2","tk_hgfxu9rv9ezn","","ex_zltgiijub6xv",0.864,"final_state,attention,meanpool,maxpool","lr","1024","5","5","5","3","512","1989892904","5000","5","30000"
"training_8","tk_nfgdn6o2rvxw","","ex_zltgiijub6xv",0.8656,"maxpool","cnn","512","0","5","7","1","512","1004546748","5000","5","30000"
"training_13","tk_ulj4h11r03ul","","ex_zltgiijub6xv",0.857,"final_state,meanpool","cnn","1024","0","1","7","2","128","4076992239","5000","5","30000"
"training_31","tk_us4op8ovf93b","","ex_zltgiijub6xv",0.864,"final_state","lr","64","5","5","10","3","156","1989892904","5000","5","30000"
"training_22","tk_wu4v3ecwrdcn","","ex_zltgiijub6xv",0.8652,"attention,meanpool,final_state","lstm","512","2","5","7","1","156","2294922667","5000","5","30000"
"training_18","tk_jj7huiey59ez","","ex_zltgiijub6xv",0.8288,"maxpool,attention,meanpool","boe","128","0","1","7","1","128","2294922667","5000","5","30000"
"training_49","tk_ukciatur931z","","ex_zltgiijub6xv",0.8594,"maxpool","cnn","64","5","5","10","2","156","2294922667","5000","0","30000"
"training_6","tk_b3aii0ja2kcf","","ex_zltgiijub6xv",0.8518,"attention","boe","2048","5","5","5","1","512","2294922667","5000","0","30000"
"training_28","tk_z60cenqbq90d","","ex_zltgiijub6xv",0.8602,"meanpool,maxpool,final_state,attention","lstm","1024","2","5","10","2","512","2002861410","5000","0","30000"
"training_36","tk_qr680d2rrb34","","ex_zltgiijub6xv",0.8562,"meanpool,final_state","boe","1024","5","1","10","3","512","4076992239","5000","2","30000"
"training_32","tk_txu3puvjbiex","","ex_zltgiijub6xv",0.864,"final_state,attention,maxpool,meanpool","lr","128","5","5","5","2","512","1989892904","5000","5","30000"
"training_19","tk_1umsw62ml9jq","","ex_zltgiijub6xv",0.8722,"final_state,attention,maxpool","lr","128","0","10","5","2","512","2002861410","5000","2","30000"
"training_40","tk_madxg7kj3l6r","","ex_zltgiijub6xv",0.8526,"final_state,meanpool,maxpool,attention","cnn","64","2","10","5","3","156","1989892904","5000","5","30000"
