"Task_Name","Task_ID","Experiment_Name","Experiment_ID","metric_best_epoch","metric_best_validation_elbo","metric_best_validation_kld_weight","metric_best_validation_loss","metric_best_validation_nkld","metric_best_validation_nll","metric_best_validation_npmi","metric_best_validation_z_entropy","metric_best_validation_z_max","metric_best_validation_z_min","env_KL_ANNEALING","env_LEARNING_RATE","env_NUM_ENCODER_LAYERS","env_SEED","env_THROTTLE","env_VAE_HIDDEN_DIM","env_VALIDATION_METRIC","env_Z_DROPOUT"
"training_3","tk_5h075f0okfbm","","ex_vq6jghakhfqc",194,139.6199951171875,1,139.61998310089112,2.9423365592956543,136.67764282226562,0.1826683971089072,0.9793408513069153,0.05969347804784775,0.010613581165671349,"sigmoid","1","2","2002861410","None","64","+npmi","5"
"training_14","tk_bp1yjimv68s5","","ex_b1vhlrmqarq5",153,139.87582397460938,1,139.87581787109374,2.948105573654175,136.92770385742188,0.17625356041085377,0.9774271845817566,0.06513800472021103,0.010851699858903885,"sigmoid","1","1","1004546748","None","64","+npmi","5"
"training_26","tk_35dglmsexmbe","","ex_vq6jghakhfqc",177,141.88296508789062,1,141.88294811248778,2.1225242614746094,139.7604217529297,0.16562560088990264,0.9985482096672058,0.007856459356844425,0.003302223514765501,"sigmoid","1","3","1004546748","None","256","+npmi","5"
"training_42","tk_i1rcw55zc0et","","ex_vq6jghakhfqc",157,140.46705627441406,1,140.46705169677733,2.230717182159424,138.23635864257812,0.16506661045912985,0.9947584271430969,0.021032366901636124,0.006101464852690697,"sigmoid","1","2","2002861410","None","128","+npmi","5"
"training_7","tk_iu28hbr5apl4","","ex_b1vhlrmqarq5",130,142.9201202392578,1,142.92009963989258,2.7892096042633057,140.13088989257812,0.15831416647108298,0.9990400075912476,0.0046212985180318356,0.0016223503043875098,"sigmoid","5","2","2294922667","None","512","+npmi","5"
"training_6","tk_gdsmpv7wno9j","","ex_vq6jghakhfqc",27,139.60678100585938,1,139.60678234100342,3.9225215911865234,135.6842803955078,0.15711508487101591,0.985858142375946,0.03853979334235191,0.005800233222544193,"sigmoid","10","2","2294922667","None","128","+npmi","5"
"training_33","tk_ons0t7x8x8ww","","ex_b1vhlrmqarq5",197,140.9026336669922,1,140.90263595581055,2.3444576263427734,138.5581512451172,0.15701898895588104,0.9983010292053223,0.008513471111655235,0.0031535793095827103,"sigmoid","1","1","1989892904","None","256","-nll","5"
"training_9","tk_5guatzckx6cz","","ex_vq6jghakhfqc",198,139.34300231933594,1,139.34301834106446,2.504631996154785,136.83837890625,0.15669757956547584,0.9938888549804688,0.023727331310510635,0.00589447095990181,"sigmoid","1","1","2002861410","None","128","-nll","5"
"training_49","tk_nmcl9987vvvt","","ex_b1vhlrmqarq5",11,145.7389373779297,1,145.73895454406738,11.753764152526855,133.98519897460938,0.15129083876730803,0.9159091711044312,0.11977584660053253,0.006387441419064999,"sigmoid","5","3","2294922667","None","64","-nll","5"
"training_40","tk_skag72ymj03n","","ex_b1vhlrmqarq5",147,135.31805419921875,1,135.31804389953612,3.648707866668701,131.66934204101562,0.14501183481331667,0.9981887936592102,0.00684882840141654,0.0015364134451374412,"sigmoid","5","3","1989892904","None","512","+npmi","2"
"training_8","tk_fp4oue2w72cx","","ex_vq6jghakhfqc",198,133.8023223876953,1,133.8022975921631,3.6545169353485107,130.1477813720703,0.14406013575286938,0.9741870164871216,0.07465221732854843,0.009380707517266273,"sigmoid","1","3","1004546748","None","64","-nll","2"
"training_31","tk_cxninm6q9rzg","","ex_vq6jghakhfqc",109,136.5685272216797,1,136.56852493286132,3.153339385986328,133.41519165039062,0.14207317340740983,0.9904859662055969,0.03158601373434067,0.005343244411051273,"sigmoid","1","2","2294922667","None","128","+npmi","2"
"training_24","tk_x5mfujwhxrmu","","ex_b1vhlrmqarq5",186,134.05502319335938,1,134.05504016876222,3.361294984817505,130.69375610351562,0.13599987431029978,0.9905430674552917,0.0318787544965744,0.005225012544542551,"sigmoid","1","2","1004546748","None","128","+npmi","2"
"training_16","tk_r8nubcyt1fbf","","ex_vq6jghakhfqc",182,149.9165496826172,1,149.91655445098877,2.8720738887786865,147.04449462890625,0.13558525328470344,0.9995795488357544,0.002246097195893526,0.0008491344633512199,"sigmoid","5","3","1004546748","None","1024","+npmi","5"
"training_37","tk_5geqhg5a2ir6","","ex_vq6jghakhfqc",11,140.2444305419922,1,140.24443798065187,15.416091918945312,124.8283462524414,0.1353927206450697,0.9036000370979309,0.1325957328081131,0.005257896147668362,"sigmoid","10","3","2294922667","None","64","-nll","2"
