"Task_Name","Task_ID","Experiment_Name","Experiment_ID","metric_best_epoch","metric_best_validation_elbo","metric_best_validation_kld_weight","metric_best_validation_loss","metric_best_validation_nkld","metric_best_validation_nll","metric_best_validation_npmi","metric_best_validation_perp","metric_best_validation_z_entropy","metric_best_validation_z_max","metric_best_validation_z_min","env_KL_ANNEALING","env_LEARNING_RATE","env_NUM_ENCODER_LAYERS","env_SEED","env_THROTTLE","env_VAE_HIDDEN_DIM","env_VALIDATION_METRIC","env_VOCAB_SIZE","env_Z_DROPOUT"
"training_99","tk_la9qkl27eugk","","ex_ng5xdyvgvnqa",199,822.5810546875,1,822.581021118164,11.110624313354492,811.4703369140625,0.08073609226593412,2360.129803466797,0.9635125994682312,0.06589148193597794,0.006213459651917219,"sigmoid","5","3","4076992239","None","64","-nll","30000","2"
"training_78","tk_dnpqlazgs97w","","ex_ng5xdyvgvnqa",199,859.3243408203125,1,859.3245178222656,81.34507751464844,777.9793701171875,0.05873827026023024,1578.477572631836,0.971609890460968,0.01826852560043335,0.0004727903287857771,"linear","5","2","1989892904","None","512","-nll","30000","2"
"training_91","tk_rl6ok7e0ka1f","","ex_ng5xdyvgvnqa",199,844.1265869140625,1,844.1264495849609,5.116037845611572,839.0103759765625,0.13041258878527007,3156.548065185547,0.9872482419013977,0.029613777995109558,0.00494567072018981,"sigmoid","1","1","1989892904","None","128","-nll","30000","5"
"training_54","tk_snpjin7ywz72","","ex_ng5xdyvgvnqa",199,831.4719848632812,1,831.4719085693359,6.723672389984131,824.7481689453125,0.11658995447433484,2726.3781127929688,0.9833849668502808,0.034937698394060135,0.004282607696950436,"sigmoid","1","3","2002861410","None","128","-nll","30000","2"
"training_14","tk_oa80m825t2a1","","ex_ng5xdyvgvnqa",199,860.8626098632812,1,860.8624557495117,75.57395935058594,785.2884521484375,0.06524589110174424,1644.496646118164,0.9384549260139465,0.051313839852809906,0.0011796025792136788,"linear","5","3","2002861410","None","128","-nll","30000","0"
"training_53","tk_cai4f1tc0yti","","ex_ng5xdyvgvnqa",199,875.3843994140625,1,875.3843627929688,68.30207824707031,807.0823364257812,0.08441205525518455,2206.9147033691406,0.9641779065132141,0.02998427487909794,0.0017426442354917526,"linear","5","2","1004546748","None","128","-nll","30000","5"
"training_43","tk_va729g8fpvy2","","ex_ng5xdyvgvnqa",199,843.4130859375,1,843.413198852539,4.859457015991211,838.5538940429688,0.125436121729281,3137.453753662109,0.9890016317367554,0.02591874822974205,0.005168655421584845,"sigmoid","1","3","2002861410","None","128","-nll","30000","5"
"training_24","tk_vtvwinilxetv","","ex_ng5xdyvgvnqa",199,856.0748291015625,1,856.074803161621,67.17826080322266,788.8966064453125,0.053197852482798666,1801.4942657470704,0.9468377828598022,0.04512929543852806,0.001357366912998259,"linear","5","3","4076992239","None","128","-nll","30000","2"
"training_63","tk_avci0nb3oku9","","ex_ng5xdyvgvnqa",199,845.8095703125,1,845.8096282958984,7.245594024658203,838.5638427734375,0.09655591961182364,3097.6675354003905,0.9949429631233215,0.010722671635448933,0.0013277207035571337,"sigmoid","1","1","4076992239","None","512","-nll","30000","2"
"training_22","tk_wal9wjbnndjd","","ex_ng5xdyvgvnqa",199,844.0020751953125,1,844.0021041870117,7.133181095123291,836.8689575195312,0.1012715828456856,3073.001171875,0.9961015582084656,0.008958762511610985,0.0013306998880580068,"sigmoid","1","1","2294922667","None","512","-nll","30000","2"
